399,0372399	181,9876
651,7608252	166,5401
904,4844104	168,9934
1157,207996	168,5111
1409,931581	172,4958
1662,655166	181,0388
1915,378752	177,5037
2168,102337	190,5
2420,825922	186,4991
2673,549507	189,5055
2926,273093	201,5412
3178,996678	209,0051
3431,720263	211,9994
3684,443848	210,0381
3937,167434	249,0407
4189,891019	255,4999
4442,614604	261,0039
4695,338189	238,002
4948,061775	278,039
5200,78536	246,4972
5453,508945	276,0018
5706,232531	271,4992
5958,956116	292,5393
6211,679701	308,501
6464,403286	302,0007
6717,126872	301,0416
6969,850457	332,5013
7222,574042	308,0028
7475,297627	316,4964
7728,021213	328,5022
7980,744798	331,039
